,Calibrations,Condition,Method,replicate,AD,GTEE,l-true,l-est
0,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,001,0.5259999999999988,0.5410144059658988,8.054683121100851,6.276466999999999
1,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,002,0.22014814814814831,0.40977601117342355,19.219103583071753,46.295
2,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,003,0.36555555555555747,0.6302838286556018,7.26183964439905,10.336503
3,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,004,0.4834074074074083,0.4844009614186549,4.737900402403801,16.7166
4,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,005,0.5631851851851827,0.6572454616856456,7.8578237697662505,6.025739
5,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,006,0.854666666666669,0.5781402603307109,3.2486213225745497,5.008161
6,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,007,0.14940740740740788,0.44642437401911433,34.57032780190365,365.24960999999996
7,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,008,0.278148148148148,0.28555820886466937,15.53666492309245,18.12064
8,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,009,0.5112592592592585,0.36324690459504505,10.248556849234152,11.13214
9,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,010,0.2836296296296299,0.480865240524267,9.387334745824552,23.02039
10,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,011,0.7174074074074068,0.6983216853261927,3.3324314928147505,2.2215219999999998
11,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,012,0.4942962962962966,0.3059284159153626,13.5604203357053,17.14171
12,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,013,0.6484444444444425,0.7844334056102499,2.6866008638323504,3.6110550000000003
13,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,014,0.5997037037037016,0.5368180791986852,7.90506752645095,16.15679
14,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,015,0.048962962962962917,0.45105441888349107,59.10423025282691,62.77203
15,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,016,0.3954814814814837,0.5150065805226738,30.16935134842545,19.0926
16,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,017,0.3549629629629644,0.289404814501114,31.4080953068906,20.28278
17,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,018,0.734666666666667,0.42528352306110856,7.504107237094352,9.622555
18,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,019,0.686592592592591,0.5453044928207359,4.56395609622885,3.744004
19,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,020,0.3656296296296313,0.385255160111522,10.912760810587352,13.054732
20,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,021,0.12133333333333364,0.32643379359515434,163.67582808668897,196.71543
