,Taxon,Branch Type,l1,l2,l1/l2,Topology
0,Micrastur L11298,terminal,60.209468,60.211881,0.999959925,ASTRAL
1,Nestor notab A13087,terminal,8.437428,21.777067,0.387445564,ASTRAL
2,Aratinga L38084,terminal,8.437428,21.777067,0.387445564,ASTRAL
3,  ,internal,51.462572,38.122933,1.349911141,ASTRAL
4,Certhia L64261,terminal,19.254935,19.261655,0.99965112,ASTRAL
5,Sitta L30550,terminal,19.254935,19.261655,0.99965112,ASTRAL
6,  ,internal,2.351921,4.195065,0.560639942,ASTRAL
7,Passarella L30382,terminal,21.2,21.203846,0.999818618,ASTRAL
8,Passer L52749,terminal,21.2,21.203846,0.999818618,ASTRAL
9,  ,internal,0.406857,2.252874,0.180594654,ASTRAL
10,  ,internal,0.364145,2.61298,0.139360041,ASTRAL
11,Corvus brac LSUMZ53041,terminal,0.974654,1.424701,0.684111263,ASTRAL
12,Corvus coride A17778,terminal,0.974654,1.424701,0.684111263,ASTRAL
13,  ,internal,6.963594,16.134002,0.431609839,ASTRAL
14,Artamus L73536,terminal,7.938249,17.558703,0.452097686,ASTRAL
15,  ,internal,14.032753,8.510996,1.648779179,ASTRAL
16,  ,internal,1.831836,0.448516,4.084215502,ASTRAL
17,Pomast temlis A19627,terminal,23.802838,26.518215,0.897603327,ASTRAL
18,  ,internal,0.673108,3.81624,0.176379892,ASTRAL
19,Menura A2360,terminal,24.475946,30.334455,0.806869482,ASTRAL
20,  ,internal,2.049503,0.102586,19.97838886,ASTRAL
21,Chlamy nuclis A19590,terminal,26.525449,30.437041,0.871485799,ASTRAL
22,  ,internal,5.549989,4.871365,1.139308797,ASTRAL
23,Acanth chlris O3RIFL,terminal,23.987552,34.110138,0.703238199,ASTRAL
24,Pitta iris AW33736,terminal,0.656206,1.628963,0.402836651,ASTRAL
25,Pitta versi A2371,terminal,0.656206,1.628963,0.402836651,ASTRAL
26,  ,internal,0.069064,0.295747,0.233523924,ASTRAL
27,Pitta anery W60310,terminal,0.72527,1.92471,0.376820404,ASTRAL
28,  ,internal,0.051158,0.252223,0.202828449,ASTRAL
29,Pitta maxima USNM571809,terminal,0.776428,2.176933,0.356661413,ASTRAL
30,  ,internal,0.021873,0.160925,0.13592046,ASTRAL
31,Pitta elega W89758,terminal,0.112405,2.096469,0.053616343,ASTRAL
32,Pitta steer K28197,terminal,0.112405,2.096469,0.053616343,ASTRAL
33,  ,internal,0.685896,0.24139,2.841443308,ASTRAL
34,  ,internal,0.324056,0.975049,0.332348426,ASTRAL
35,Pitta sorida K14471,terminal,1.03367,2.690156,0.384241657,ASTRAL
36,Pitta molcen K23289,terminal,1.03367,2.690156,0.384241657,ASTRAL
37,  ,internal,0.088686,0.622752,0.14240982,ASTRAL
38,  ,internal,2.919638,0.094871,30.77482055,ASTRAL
39,Pitta molcen DOT17176,terminal,4.041994,3.407778,1.186108367,ASTRAL
40,  ,internal,1.116855,3.814436,0.292796891,ASTRAL
41,Pitta angol F396328,terminal,5.158848,7.222214,0.714302844,ASTRAL
42,  ,internal,0.039618,3.931693,0.010076575,ASTRAL
