,Taxon,Branch Type,l1,l2,l1/l2
0,Crypturellus cinnamomeus,terminal,4.1117,4.695,0.875761448
1,Crypturellus undulatus,terminal,4.1117,4.695,0.875761448
2,  ,internal,3.2121,5.132,0.625896337
3,Crypturellus soui,terminal,7.3238,9.827,0.745273227
4,  ,internal,16.7762,14.273,1.175380088
5,Tinamus guttatus,terminal,24.1,24.1,1
6,  ,internal,0.8812,0.9964,0.884383782
7,Nothocercus julius,terminal,4.7703,13.9977,0.340791701
8,Nothocercus nigrocapillus,terminal,4.7703,13.9977,0.340791701
9,  ,internal,20.211,11.0987,1.821024084
10,  ,internal,0.5872,0.7346,0.799346583
11,Nothoprocta ornata,terminal,0.9125,0.6773,1.347261184
12,Nothoprocta pentlandii,terminal,0.9125,0.6773,1.347261184
13,  ,internal,3.7954,1.4674,2.586479488
14,Nothoprocta perdicaria,terminal,4.708,2.1447,2.195178813
15,  ,internal,2.752,5.3153,0.517750644
16,Eudromia elegans,terminal,7.46,7.46,1
17,  ,internal,18.1084,18.371,0.985705732
18,  ,internal,27.4417,27.6989,0.990714433
19,Rhea americana,terminal,22.74,22.74,1
20,Rhea pennata,terminal,22.74,22.74,1
21,  ,internal,30.2702,30.7898,0.983124281
22,  ,internal,0.2689,1.4905,0.180409259
23,Apteryx haastii,terminal,0.3998,0.8155,0.49025138
24,Apteryx owenii,terminal,0.3998,0.8155,0.49025138
25,  ,internal,1.14,1.6108,0.707722871
26,Apteryx australis,terminal,0.7545,1.0115,0.745921898
27,Apteryx rowi,terminal,0.7545,1.0115,0.745921898
28,  ,internal,0.7853,1.4148,0.555060786
29,  ,internal,51.6212,51.8724,0.995157348
30,Casuarius casuarius,terminal,27.82,27.82,1
31,Dromaius novaehollandiae,terminal,27.82,27.82,1
32,  ,internal,25.341,26.4787,0.957033389
33,  ,internal,0.1181,0.7217,0.163641402
34,  ,internal,7.0029,7.7039,0.909007126
35,Struthio camelus,terminal,60.282,62.7243,0.961062937
36,  ,internal,98.0076,60.7075,1.614423259
37,Molothrus ater,terminal,4.6104,5.1518,0.894910517
38,Quiscalus mexicanus,terminal,4.6104,5.1518,0.894910517
39,  ,internal,1.0066,1.096,0.918430657
40,Agelaius phoeniceus,terminal,5.617,6.2478,0.899036461
41,  ,internal,5.4567,4.8077,1.134991784
42,Setophaga coronata,terminal,3.629,4.382,0.828160657
43,Setophaga kirtlandii,terminal,3.629,4.382,0.828160657
44,  ,internal,7.4448,6.6736,1.115559818
45,  ,internal,0.2962,0.3145,0.941812401
46,Junco hyemalis,terminal,5.7443,3.8096,1.507848593
47,Zonotrichia albicollis,terminal,5.7443,3.8096,1.507848593
48,  ,internal,4.3638,2.6934,1.620182669
49,Melospiza melodia,terminal,10.1081,6.503,1.554374904
50,  ,internal,0.5158,4.1614,0.123948671
51,Spizella passerina,terminal,10.6238,10.6644,0.996192941
52,  ,internal,0.7462,0.7056,1.057539683
53,  ,internal,2.9567,2.4843,1.190154168
54,Cardinalis cardinalis,terminal,10.0692,9.3172,1.080710943
55,Passerina amoena,terminal,10.0692,9.3172,1.080710943
56,  ,internal,0.2571,0.6521,0.394264683
57,Pheucticus melanocephalus,terminal,10.3262,9.9693,1.035799906
58,  ,internal,2.3054,2.2488,1.025168979
59,Geospiza fortis,terminal,9.2788,10.1618,0.913105946
60,Sporophila hypoxantha,terminal,9.2788,10.1618,0.913105946
61,  ,internal,1.2578,0.8238,1.5268269
62,Nesospiza acunhae,terminal,10.5365,10.9857,0.95911048
63,  ,internal,2.0951,1.2324,1.700016228
64,  ,internal,1.6951,1.6362,1.035998044
65,  ,internal,0.8229,0.744,1.106048387
66,Calcarius ornatus,terminal,14.4716,13.534,1.069277375
67,Emberiza fucata,terminal,14.4716,13.534,1.069277375
68,  ,internal,0.678,1.0643,0.637038429
69,  ,internal,1.0106,0.926,1.091360691
70,Rhodinocichla rosea,terminal,16.1602,15.5243,1.040961589
71,  ,internal,2.03,2.9527,0.68750635
72,Loxia curvirostra,terminal,1.5885,2.0624,0.770219162
73,Loxia leucoptera,terminal,1.5885,2.0624,0.770219162
74,  ,internal,4.2243,5.1088,0.826867366
75,Serinus canaria,terminal,5.8129,7.1712,0.810589581
76,  ,internal,5.5003,5.6283,0.977257787
77,Chlorodrepanis virens,terminal,1.2386,2.0927,0.591866966
78,Hemignathus wilsoni,terminal,1.2386,2.0927,0.591866966
79,  ,internal,10.0746,10.7068,0.940953413
80,  ,internal,6.877,5.6775,1.211272567
81,  ,internal,1.4604,1.2363,1.181266683
82,Motacilla alba,terminal,19.6507,19.7133,0.996824479
83,  ,internal,1.0368,0.9443,1.097956158
