,Taxon,Branch Type,l1,l2,l1/l2
0,Crypturellus cinnamomeus,terminal,5.027178,4.517084,1.112925507
1,Crypturellus undulatus,terminal,5.027178,4.517084,1.112925507
2,  ,internal,4.645916,7.203327,0.644968082
3,Crypturellus soui,terminal,9.673093,11.72041,0.82532036
4,  ,internal,14.426907,12.382881,1.165068694
5,Tinamus guttatus,terminal,24.1,24.103291,0.999863463
6,  ,internal,2.558247,2.883073,0.887333411
7,Nothocercus julius,terminal,8.174887,10.164235,0.804279614
8,Nothocercus nigrocapillus,terminal,8.174887,10.164235,0.804279614
9,  ,internal,18.48336,16.82213,1.098752655
10,  ,internal,1.585181,1.962744,0.807635127
11,Nothoprocta ornata,terminal,0.719121,0.519697,1.38373129
12,Nothoprocta pentlandii,terminal,0.719121,0.519697,1.38373129
13,  ,internal,2.226349,2.430609,0.915963448
14,Nothoprocta perdicaria,terminal,2.94547,2.950306,0.998360848
15,  ,internal,4.51453,4.509694,1.001072357
16,Eudromia elegans,terminal,7.46,7.46,1
17,  ,internal,20.783428,21.489108,0.967161038
18,  ,internal,28.281183,29.396127,0.962071738
19,Rhea americana,terminal,22.74,22.74,1
20,Rhea pennata,terminal,22.74,22.74,1
21,  ,internal,33.784611,35.605235,0.948866396
22,  ,internal,0.936532,0.788633,1.187538437
23,Apteryx haastii,terminal,0.498187,1.036398,0.480690816
24,Apteryx owenii,terminal,0.498187,1.036398,0.480690816
25,  ,internal,1.822248,2.57363,0.708045834
26,Apteryx australis,terminal,0.980914,1.335423,0.734534301
27,Apteryx rowi,terminal,0.980914,1.335423,0.734534301
28,  ,internal,1.339521,2.274605,0.588902689
29,  ,internal,40.082929,50.289328,0.797046423
30,Casuarius casuarius,terminal,27.82,27.82,1
31,Dromaius novaehollandiae,terminal,27.82,27.82,1
32,  ,internal,14.583364,26.079356,0.559191876
33,  ,internal,15.057779,5.234512,2.876634727
34,  ,internal,8.244792,8.184212,1.007402057
35,Struthio camelus,terminal,65.705936,67.31808,0.976051842
